peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
186,1,0.583,0.297,-11.273,0.406,0,124.279
189,1,0.755,0.87,-2.414,0.0936,0,124.032
114,1,0.857,0.558,-7.888,0.134,0.000048,123.973
77,1,0.674,0.58,-4.866,0.0311,0,121.987
15,1,0.762,0.861,-3.296,0.0955,0,120.048
81,1,0.828,0.591,-6.217,0.109,0.000323,119.251
96,1,0.876,0.628,-6.595,0.0935,0.0339,118.028
180,1,0.93,0.774,-4.203,0.0744,0.0238,116.972
61,1,0.583,0.61,-5.639,0.0382,0.000105,114.06
165,1,0.888,0.459,-8.154,0.0357,0,112.56
93,1,0.785,0.732,-5.724,0.164,0.000807,110.952
77,1,0.683,0.85,-5.042,0.0699,0.00000109,107.988
65,1,0.742,0.832,-6.812,0.156,0.242,105.978
33,1,0.554,0.535,-8.959,0.186,0.0000132,105.865
157,1,0.905,0.631,-10.06,0.177,0,105.026
138,1,0.764,0.705,-5.279,0.0278,0.0000194,101.003
166,1,0.819,0.781,-4.879,0.0547,0.0012,100.062
90,1,0.68,0.428,-8.107,0.135,0.000344,98.222
99,1,0.83,0.739,-5.395,0.0627,0.00000211,97.993
74,1,0.783,0.75,-5.762,0.078,0,97.953
152,1,0.788,0.4,-6.454,0.115,0.000141,97.936
85,1,0.618,0.712,-8.246,0.114,0.00000453,97.057
58,1,0.685,0.909,-4.034,0.0396,0,95.004
122,1,0.453,0.673,-5.649,0.144,0,92.06
39,1,0.792,0.919,-5.688,0.276,0.0000051,92.028
39,1,0.744,0.8,-2.63,0.266,0,89.925
198,1,0.79,0.647,-5.983,0.136,0,87.999
45,1,0.889,0.641,-4.494,0.0668,0.0000275,87.99
97,1,0.708,0.449,-4.369,0.0286,0,84.396
35,1,0.716,0.551,-6.987,0.47,0,82.393
83,1,0.412,0.382,-7.023,0.0497,0,81.493
