peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
29,81,0.567,0.267,-6.502,0.0299,0.00000146,110.011
13,78,0.667,0.373,-9.389,0.05,0,124.148
4,77,0.702,0.825,-3.787,0.0601,0,102.977
4,76,0.808,0.745,-5.26,0.342,0,165.995
99,76,0.588,0.521,-9.461,0.0329,0.149,85.012
108,75,0.566,0.664,-5.303,0.0464,0,128.945
1,74,0.737,0.802,-4.771,0.0878,0,144.015
1,73,0.731,0.573,-10.059,0.0544,0.0000522,109.928
5,72,0.866,0.813,-4.063,0.0554,0,121.998
13,68,0.532,0.783,-5.697,0.0523,0.0012,124.08
2,68,0.68,0.826,-5.487,0.0309,0.0000124,118.051
7,67,0.608,0.626,-4.773,0.301,0.00000216,176.086
101,66,0.429,0.661,-7.227,0.0281,0.000121,173.372
44,66,0.686,0.735,-4.616,0.264,0.00066,171.355
1,65,0.761,0.525,-6.9,0.0944,0.0000067,80.87
17,64,0.754,0.646,-5.795,0.317,0.0000185,176.089
9,64,0.798,0.62,-7.079,0.232,0.0192,120.031
122,64,0.484,0.731,-6.694,0.0379,0,101.654
1,63,0.561,0.431,-8.81,0.0578,0.0000142,143.875
109,63,0.489,0.918,-4.502,0.0554,0.0000764,116.731
109,61,0.82,0.452,-9.796,0.0348,0.00294,117.401
5,55,0.586,0.616,-7.964,0.0324,0,148.088
44,54,0.527,0.835,-5.298,0.0433,0,125.983
117,54,0.664,0.705,-4.972,0.0382,0,122.016
3,53,0.778,0.695,-6.865,0.0913,0,149.996
1,53,0.677,0.696,-6.181,0.119,0,90.03
1,52,0.593,0.503,-6.725,0.22,0,178.781
23,52,0.453,0.35,-11.639,0.0425,0.00122,72.017
3,51,0.442,0.612,-7.222,0.112,0.0000057,180.917
45,50,0.498,0.59,-4.721,0.032,0,145.867
31,50,0.442,0.538,-8.55,0.0451,0.0000295,122.758
52,50,0.585,0.564,-7.063,0.0515,0,113.003
3,50,0.764,0.705,-3.463,0.0284,0.0000892,110.97
62,50,0.609,0.378,-9.828,0.438,0,100.418
15,48,0.824,0.862,-3.424,0.126,0.000132,122.98
5,48,0.65,0.825,-4.645,0.0325,0.0000244,118.091
55,47,0.345,0.941,-9.918,0.0466,0.633,179.626
8,47,0.449,0.465,-8.964,0.0791,0.00000102,89.087
3,46,0.645,0.862,-4.761,0.0845,0,119.947
1,45,0.563,0.664,-5.044,0.154,0,166.928
9,45,0.749,0.463,-8.433,0.0842,0.0382,90.035
12,44,0.395,0.443,-9.72,0.133,0.00000967,168.924
2,44,0.78,0.719,-3.613,0.0506,0.000196,127.962
2,44,0.759,0.459,-5.187,0.0948,0,109.997
7,44,0.38,0.339,-7.885,0.0338,0,100.607
3,42,0.644,0.648,-4.601,0.118,0,179.951
1,42,0.461,0.593,-4.954,0.0356,0,134.17
1,42,0.714,0.8,-4.808,0.0504,0,134.002
51,42,0.949,0.661,-4.244,0.0572,0,104.504
