track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
PROVENZA,KAROL G,6,16,0.87,0.516,-8.006,0.0541,0.00823,111.005
ULTRA SOLO,"Polim?? Westcoast, Pailita",42,16,0.802,0.846,-4.495,0.207,1.92E-05,109.982
House of Memories,Panic! At The Disco,64,16,0.506,0.817,-5.051,0.0335,0,109.952
Rolling in the Deep,Adele,36,16,0.73,0.769,-5.114,0.0298,0,104.948
Thunder,"Gabry Ponte, LUM!X, Prezioso",110,16,0.67,0.896,-4.673,0.058,3.21E-05,101.216
Pasoori,"Shae Gill, Ali Sethi",109,16,0.714,0.596,-6.206,0.043,0,91.991
Still Don't Know My Name,Labrinth,53,16,0.316,0.63,-5.963,0.117,0.262,89.643
LA FAMA (with The Weeknd),"ROSAL??A, The Weeknd",32,15,0.766,0.295,-7.893,0.0464,4.44E-05,136.016
Acapulco,Jason Derulo,90,15,0.774,0.792,-4.021,0.0523,0,122.062
About Damn Time,Lizzo,9,15,0.836,0.743,-6.305,0.0653,0,108.965
Desesperados,"Rauw Alejandro, Chencho Corleone",8,15,0.869,0.694,-3.35,0.0783,0.00125,90.02
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",10,15,0.463,0.642,-4.474,0.34,0,83.389
In The Stars,Benson Boone,54,15,0.362,0.54,-6.031,0.0528,0,78.007
Super Gremlin,Kodak Black,45,15,0.825,0.414,-6.634,0.144,0,72.993
La Corriente,"Bad Bunny, Tony Dize",17,14,0.663,0.786,-3.51,0.195,0,196.12
Un Coco,Bad Bunny,25,14,0.839,0.69,-4.464,0.0615,8.33E-06,151.991
Yo No Soy Celoso,Bad Bunny,11,14,0.872,0.588,-6.276,0.0492,0,142.004
Sky,Playboi Carti,113,14,0.785,0.903,-4.184,0.21,0,139.98
Sunroof,"Nicky Youre, dazy",28,14,0.768,0.714,-5.11,0.0401,0,131.443
Dos Mil 16,Bad Bunny,19,14,0.817,0.67,-6.534,0.0506,1.92E-06,130.058
Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",127,14,0.601,0.713,-3.758,0.0449,0,122.872
Neverita,Bad Bunny,15,14,0.876,0.498,-7.511,0.0478,0,122.016
Aguacero,Bad Bunny,22,14,0.861,0.645,-6.96,0.0743,0.000592,121.391
Tarot,"Bad Bunny, Jhay Cortez",9,14,0.795,0.684,-3.971,0.0419,0,114.011
Payphone,"Maroon 5, Wiz Khalifa",136,14,0.743,0.752,-4.813,0.0414,0,110.015
Otro Atardecer,"Bad Bunny, The Mar??as",24,14,0.777,0.595,-6.79,0.0375,0.00139,108.02
Tit?? Me Pregunt??,Bad Bunny,4,14,0.65,0.715,-5.198,0.253,0.000291,106.672
Andrea,"Bad Bunny, Buscabulla",21,14,0.797,0.616,-10.229,0.375,0.000293,103.071
Until I Found You,Stephen Sanchez,30,14,0.539,0.508,-6.05,0.0288,0,101.358
Moscow Mule,Bad Bunny,2,14,0.804,0.674,-5.453,0.0333,1.18E-06,99.968
Efecto,Bad Bunny,7,14,0.801,0.475,-8.797,0.0516,1.73E-05,98.047
Party,"Bad Bunny, Rauw Alejandro",6,14,0.829,0.799,-5.389,0.0897,0.000543,97.013
Un Ratito,Bad Bunny,10,14,0.787,0.546,-7.094,0.0532,4.55E-05,93.05
Me Porto Bonito,"Bad Bunny, Chencho Corleone",2,14,0.911,0.712,-5.105,0.0817,2.68E-05,92.005
Me Fui de Vacaciones,Bad Bunny,14,14,0.714,0.645,-5.493,0.0514,0.00083,85.046
Ojitos Lindos,"Bad Bunny, Bomba Est??reo",3,14,0.647,0.686,-5.745,0.0413,1.34E-06,79.928
Despu??s de la Playa,Bad Bunny,7,14,0.564,0.903,-3.221,0.307,0,78.293
We Don't Talk About Bruno,"Carolina Gait??n - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",8,13,0.577,0.45,-8.516,0.0834,0,205.863
MIDDLE OF THE NIGHT,Elley Duh??,14,13,0.41,0.611,-8.271,0.0467,0,185.727
Don? t Blame Me,Taylor Swift,72,13,0.615,0.534,-6.719,0.0386,1.76E-05,135.917
Malvad??o 3,"Xam??, Gustah, Neo Beats",33,13,0.821,0.609,-6.541,0.268,0,133.133
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",18,13,0.669,0.773,-5.619,0.153,0,93.923
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,23,12,0.652,0.583,-8.302,0.322,1.65E-06,180.042
La Llevo Al Cielo (Ft. ??engo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, ??engo Flow",53,12,0.795,0.845,-3.809,0.135,1.14E-05,170.023
Locked out of Heaven,Bruno Mars,111,12,0.728,0.697,-4.125,0.0456,0,143.986
505,Arctic Monkeys,57,12,0.52,0.852,-5.866,0.0543,5.79E-05,140.267
Revenge,XXXTENTACION,63,12,0.746,0.251,-16.169,0.259,0.00203,139.999
Late Night Talking,Harry Styles,2,12,0.714,0.728,-4.595,0.0468,0,114.996
Matilda,Harry Styles,5,12,0.507,0.294,-10,0.04,1.97E-05,114.199
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",23,12,0.87,0.523,-8.052,0.0602,2.07E-05,110.02
Music For a Sushi Restaurant,Harry Styles,6,12,0.72,0.715,-4.652,0.04,0.0568,107.041
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",37,12,0.656,0.823,-3.059,0.315,0,96.474
Only Love Can Hurt Like This,Paloma Faith,93,12,0.566,0.885,-4.528,0.0818,9.97E-05,90.99
Se Le Ve,"D??melo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tav??rez",110,12,0.562,0.755,-4.367,0.112,2.25E-05,83.997
Salimo de Noche,"Tiago PZK, Trueno",72,12,0.669,0.628,-4.177,0.0526,1.83E-05,83.803
Notion,The Rare Occasions,67,11,0.309,0.883,-3.825,0.0808,0.00111,159.488
TO THE MOON,"Jnr Choi, Sam Tompkins",55,11,0.745,0.65,-11.814,0.346,0.00758,144.047
All For Us,"Labrinth, Zendaya",43,11,0.46,0.66,-6.642,0.0652,0.000139,141.722
Wildest Dreams (Taylor's Version),Taylor Swift,29,11,0.583,0.67,-7.289,0.0646,0.0001,140.061
