track_name,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
"Lose Yourself - From ""8 Mile"" Soundtrack",44,66,0.686,0.735,-4.616,0.264,0.00066,171.355
Heat Waves,1,65,0.761,0.525,-6.9,0.0944,6.70E-06,80.87
LA CANCI??N,17,64,0.754,0.646,-5.795,0.317,1.85E-05,176.089
The Business,9,64,0.798,0.62,-7.079,0.232,0.0192,120.031
Riptide,122,64,0.484,0.731,-6.694,0.0379,0,101.654
drivers license,1,63,0.561,0.431,-8.81,0.0578,1.42E-05,143.875
Smells Like Teen Spirit,109,63,0.489,0.918,-4.502,0.0554,7.64E-05,116.731
Every Breath You Take,109,61,0.82,0.452,-9.796,0.0348,0.00294,117.401
Leave The Door Open,5,55,0.586,0.616,-7.964,0.0324,0,148.088
The Nights,44,54,0.527,0.835,-5.298,0.0433,0,125.983
Counting Stars,117,54,0.664,0.705,-4.972,0.0382,0,122.016
Astronaut In The Ocean,3,53,0.778,0.695,-6.865,0.0913,0,149.996
Peaches (feat. Daniel Caesar & Giveon),1,53,0.677,0.696,-6.181,0.119,0,90.03
MONTERO (Call Me By Your Name),1,52,0.593,0.503,-6.725,0.22,0,178.781
Arcade,23,52,0.453,0.35,-11.639,0.0425,0.00122,72.017
deja vu,3,51,0.442,0.612,-7.222,0.112,5.70E-06,180.917
Talking to the Moon,45,50,0.498,0.59,-4.721,0.032,0,145.867
Another Love,31,50,0.442,0.538,-8.55,0.0451,2.95E-05,122.758
The Hills,52,50,0.585,0.564,-7.063,0.0515,0,113.003
Kiss Me More (feat. SZA),3,50,0.764,0.705,-3.463,0.0284,8.92E-05,110.97
Love Yourself,62,50,0.609,0.378,-9.828,0.438,0,100.418
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,15,48,0.824,0.862,-3.424,0.126,0.000132,122.98
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,5,48,0.65,0.825,-4.645,0.0325,2.44E-05,118.091
Freaks,55,47,0.345,0.941,-9.918,0.0466,0.633,179.626
Heartbreak Anniversary,8,47,0.449,0.465,-8.964,0.0791,1.02E-06,89.087
Boy With Luv (feat. Halsey),3,46,0.645,0.862,-4.761,0.0845,0,119.947
good 4 u,1,45,0.563,0.664,-5.044,0.154,0,166.928
Streets,9,45,0.749,0.463,-8.433,0.0842,0.0382,90.035
happier,12,44,0.395,0.443,-9.72,0.133,9.67E-06,168.924
Todo De Ti,2,44,0.78,0.719,-3.613,0.0506,0.000196,127.962
Butter,2,44,0.759,0.459,-5.187,0.0948,0,109.997
traitor,7,44,0.38,0.339,-7.885,0.0338,0,100.607
Yonaguni,3,42,0.644,0.648,-4.601,0.118,0,179.951
Call Out My Name,1,42,0.461,0.593,-4.954,0.0356,0,134.17
Beggin',1,42,0.714,0.8,-4.808,0.0504,0,134.002
The Real Slim Shady,51,42,0.949,0.661,-4.244,0.0572,0,104.504
Need to Know,6,41,0.664,0.609,-6.509,0.0707,0,130.041
RAPSTAR,3,40,0.789,0.536,-6.862,0.242,0,81.039
'Till I Collapse,81,39,0.548,0.847,-3.237,0.186,0,171.447
You Right,15,39,0.828,0.621,-6.414,0.0565,0.00233,128.986
Bad Habits,3,39,0.807,0.893,-3.745,0.0347,2.79E-05,126.011
Sign of the Times,14,39,0.516,0.595,-4.63,0.0313,0,119.972
Save Your Tears (with Ariana Grande) (Remix),5,39,0.65,0.825,-4.645,0.0325,2.44E-05,118.091
Levitating,52,38,0.695,0.884,-2.278,0.0753,0,103.014
STAY (with Justin Bieber),1,37,0.591,0.764,-5.484,0.0483,0,169.928
Volando - Remix,19,37,0.659,0.688,-4.649,0.0673,0,153.979
Pepas,4,37,0.762,0.766,-3.955,0.0343,6.98E-05,130.001
Woman,6,37,0.824,0.764,-4.175,0.0854,0.00294,107.998
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",31,36,0.792,0.895,-3.112,0.0587,0,94.968
SLOW DANCING IN THE DARK,75,36,0.515,0.479,-7.458,0.0261,0.00598,88.964
INDUSTRY BABY (feat. Jack Harlow),2,35,0.741,0.691,-7.395,0.0672,0,150.087
Hope,42,35,0.592,0.457,-6.081,0.0603,0.000331,146.04
I WANNA BE YOUR SLAVE,8,35,0.75,0.608,-4.008,0.0387,0,132.507
No Role Modelz,113,35,0.69,0.521,-8.492,0.339,0,100.028
Mi??nteme,41,35,0.85,0.541,-4.522,0.0674,5.01E-06,92.003
Volv??,10,34,0.725,0.86,-3.726,0.182,0.000284,175.896
Golden,44,34,0.448,0.838,-5.257,0.0557,0.000131,139.863
No Lie,80,34,0.742,0.882,-2.862,0.117,0,102.04
Qu?? M??s Pues?,9,34,0.903,0.817,-3.972,0.095,0.000311,102.014
Get Into It (Yuh),36,34,0.912,0.655,-6.029,0.162,3.39E-05,91.942
Do I Wanna Know?,117,34,0.548,0.532,-7.596,0.0323,0.000263,85.03
Happier Than Ever,6,34,0.332,0.225,-8.697,0.0348,0.00349,81.055
Dark Red,66,33,0.603,0.783,-4.023,0.062,7.96E-06,172.041
Why'd You Only Call Me When You're High?,104,33,0.691,0.631,-6.478,0.0368,1.13E-05,92.004
Don't Be Shy,38,32,0.77,0.787,-3.748,0.0583,0,119.986
Dandelions,35,32,0.609,0.692,-2.958,0.0259,0,116.959
Cold Heart - PNAU Remix,4,32,0.795,0.8,-6.32,0.0309,7.25E-05,116.032
favorite crime,11,31,0.369,0.272,-10.497,0.0364,0,172.929
AM Remix,14,30,0.743,0.655,-5.015,0.159,0,172.031
Leave Before You Love Me (with Jonas Brothers),52,30,0.721,0.738,-4.77,0.0403,4.41E-06,119.976
"jealousy, jealousy",17,29,0.695,0.575,-6.334,0.116,0,163.929
Knife Talk (with 21 Savage ft. Project Pat),10,29,0.849,0.424,-9.579,0.324,0,145.887
Where Are You Now,18,29,0.671,0.636,-8.117,0.103,0.000411,120.966
Mon Amour - Remix,34,29,0.748,0.761,-6.621,0.102,6.56E-06,116.041
Meet Me At Our Spot,24,29,0.773,0.47,-7.93,0.0299,0.000193,94.995
The Night We Met,55,29,0.544,0.369,-9.514,0.038,0.279,87.01
Sobrio,41,28,0.762,0.77,-2.758,0.223,0,177.998
Shivers,4,28,0.788,0.859,-2.724,0.0856,0,141.02
MONEY,5,28,0.831,0.554,-9.998,0.218,6.12E-05,140.026
Nost??lgico,40,28,0.734,0.846,-3.425,0.0489,1.74E-06,98.026
love nwantiti (ah ah ah),9,28,0.727,0.739,-3.805,0.0411,0.00137,93.005
Ghost,11,27,0.601,0.741,-5.569,0.0478,2.91E-05,153.96
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,14,27,0.579,0.596,-4.823,0.0561,0.0938,119.9
THATS WHAT I WANT,3,27,0.737,0.846,-4.51,0.22,0,87.981
2055,31,27,0.829,0.512,-5.865,0.187,0,80.511
Die For You,41,26,0.586,0.525,-7.163,0.0615,0,133.629
Permission to Dance,5,26,0.702,0.741,-5.33,0.0427,0,124.925
Without Me,31,26,0.908,0.669,-2.827,0.0738,0,112.238
My Universe,3,26,0.573,0.711,-6.268,0.0406,0,105.006
C??rame,35,26,0.765,0.625,-3.599,0.0548,0.00111,102.101
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),12,25,0.639,0.703,-6.33,0.0794,1.78E-06,169.888
I Love You So,21,24,0.575,0.648,-4.891,0.0358,0,75.977
Toxic,23,23,0.594,0.612,-6.627,0.363,0,179.629
Easy On Me,1,23,0.604,0.366,-7.519,0.0282,0,141.981
Better Days (NEIKED x Mae Muller x Polo G),32,23,0.717,0.671,-5.077,0.0337,2.54E-06,110.054
La Santa,14,23,0.744,0.868,-4.524,0.047,0,93.037
Can't Hold Us (feat. Ray Dalton),149,22,0.633,0.927,-4.468,0.0839,0,146.097
Moth To A Flame (with The Weeknd),7,22,0.542,0.659,-7.289,0.0389,0,120.122
Just the Way You Are,133,22,0.635,0.841,-5.379,0.0422,0,109.021
Gangsta's Paradise,116,22,0.647,0.514,-10.05,0.0593,0,79.975
Do It To It,9,21,0.854,0.806,-8.262,0.0886,0.0542,124.927
Ain't Shit,22,21,0.855,0.488,-4.601,0.208,0,124.097
OUT OUT (feat. Charli XCX & Saweetie),42,21,0.787,0.833,-4.403,0.0478,0.00747,123.97
Infinity,11,21,0.671,0.673,-6.941,0.0444,5.29E-05,121.963
Take My Breath - Single Version,7,21,0.747,0.739,-6.008,0.0487,2.22E-05,120.996
Lost in the Fire (feat. The Weeknd),12,21,0.658,0.671,-12.21,0.0363,0.000927,100.966
Enemy (with JID) - from the series Arcane League of Legends,3,21,0.728,0.783,-4.424,0.266,0,77.011
Way 2 Sexy (with Future & Young Thug),5,20,0.803,0.597,-6.035,0.141,4.50E-06,136.008
family ties (with Kendrick Lamar),30,20,0.711,0.611,-5.453,0.33,0,134.093
The Motto,23,20,0.754,0.763,-4.627,0.0435,2.23E-05,117.953
Ley Seca,44,20,0.759,0.842,-3.758,0.096,0,105.059
One Right Now (with The Weeknd),9,20,0.687,0.781,-4.806,0.053,0,97.014
Blank Space,130,20,0.76,0.703,-5.412,0.054,0,95.997
X ??LTIMA VEZ,18,20,0.812,0.855,-3.725,0.0554,0.000167,90.04
Life Goes On,15,20,0.7,0.49,-5.187,0.076,0,79.982
As It Was,1,19,0.52,0.731,-5.338,0.0557,0.00101,173.93
Fair Trade (with Travis Scott),3,19,0.666,0.465,-8.545,0.26,0,167.937
abcdefu,1,19,0.695,0.54,-5.692,0.0493,0,121.932
Praise God,16,19,0.798,0.545,-6.466,0.168,9.48E-05,118.029
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,19,0.631,0.518,-8.771,0.0303,0,93.023
A Tu Merced,52,19,0.86,0.791,-4.784,0.0568,0.000106,92.023
Angel Baby,59,19,0.559,0.559,-6.425,0.0358,0,72.498
Tacones Rojos,45,18,0.746,0.844,-3.499,0.0359,0,123.014
First Class,2,18,0.902,0.582,-5.902,0.109,3.18E-06,107.005
Medallo,48,18,0.787,0.7,-4.598,0.0768,0.00051,90.02
Oh My God,3,18,0.534,0.725,-3.906,0.046,0,88.098
Happier Than Ever - Edit,70,17,0.334,0.599,-5.742,0.0365,0.000392,161.74
After Dark,112,17,0.579,0.601,-10.492,0.0322,0.414,140.019
Te Felicito,13,16,0.695,0.636,-4.654,0.317,0,174.14
The Feels,57,16,0.808,0.903,-2.179,0.0729,0,120.044
Bored,51,16,0.614,0.318,-12.695,0.0478,0.00239,119.959
PROVENZA,6,16,0.87,0.516,-8.006,0.0541,0.00823,111.005
ULTRA SOLO,42,16,0.802,0.846,-4.495,0.207,1.92E-05,109.982
House of Memories,64,16,0.506,0.817,-5.051,0.0335,0,109.952
Rolling in the Deep,36,16,0.73,0.769,-5.114,0.0298,0,104.948
Thunder,110,16,0.67,0.896,-4.673,0.058,3.21E-05,101.216
Pasoori,109,16,0.714,0.596,-6.206,0.043,0,91.991
Still Don't Know My Name,53,16,0.316,0.63,-5.963,0.117,0.262,89.643
LA FAMA (with The Weeknd),32,15,0.766,0.295,-7.893,0.0464,4.44E-05,136.016
Acapulco,90,15,0.774,0.792,-4.021,0.0523,0,122.062
About Damn Time,9,15,0.836,0.743,-6.305,0.0653,0,108.965
Desesperados,8,15,0.869,0.694,-3.35,0.0783,0.00125,90.02
WAIT FOR U (feat. Drake & Tems),10,15,0.463,0.642,-4.474,0.34,0,83.389
In The Stars,54,15,0.362,0.54,-6.031,0.0528,0,78.007
Super Gremlin,45,15,0.825,0.414,-6.634,0.144,0,72.993
La Corriente,17,14,0.663,0.786,-3.51,0.195,0,196.12
Un Coco,25,14,0.839,0.69,-4.464,0.0615,8.33E-06,151.991
Yo No Soy Celoso,11,14,0.872,0.588,-6.276,0.0492,0,142.004
Sky,113,14,0.785,0.903,-4.184,0.21,0,139.98
Sunroof,28,14,0.768,0.714,-5.11,0.0401,0,131.443
Dos Mil 16,19,14,0.817,0.67,-6.534,0.0506,1.92E-06,130.058
Crazy What Love Can Do,127,14,0.601,0.713,-3.758,0.0449,0,122.872
Neverita,15,14,0.876,0.498,-7.511,0.0478,0,122.016
Aguacero,22,14,0.861,0.645,-6.96,0.0743,0.000592,121.391
Tarot,9,14,0.795,0.684,-3.971,0.0419,0,114.011
Payphone,136,14,0.743,0.752,-4.813,0.0414,0,110.015
Otro Atardecer,24,14,0.777,0.595,-6.79,0.0375,0.00139,108.02
Tit?? Me Pregunt??,4,14,0.65,0.715,-5.198,0.253,0.000291,106.672
Andrea,21,14,0.797,0.616,-10.229,0.375,0.000293,103.071
Until I Found You,30,14,0.539,0.508,-6.05,0.0288,0,101.358
Moscow Mule,2,14,0.804,0.674,-5.453,0.0333,1.18E-06,99.968
Efecto,7,14,0.801,0.475,-8.797,0.0516,1.73E-05,98.047
Party,6,14,0.829,0.799,-5.389,0.0897,0.000543,97.013
Un Ratito,10,14,0.787,0.546,-7.094,0.0532,4.55E-05,93.05
Me Porto Bonito,2,14,0.911,0.712,-5.105,0.0817,2.68E-05,92.005
Me Fui de Vacaciones,14,14,0.714,0.645,-5.493,0.0514,0.00083,85.046
Ojitos Lindos,3,14,0.647,0.686,-5.745,0.0413,1.34E-06,79.928
Despu??s de la Playa,7,14,0.564,0.903,-3.221,0.307,0,78.293
We Don't Talk About Bruno,8,13,0.577,0.45,-8.516,0.0834,0,205.863
MIDDLE OF THE NIGHT,14,13,0.41,0.611,-8.271,0.0467,0,185.727
Don? t Blame Me,72,13,0.615,0.534,-6.719,0.0386,1.76E-05,135.917
Malvad??o 3,33,13,0.821,0.609,-6.541,0.268,0,133.133
Cooped Up (with Roddy Ricch),18,13,0.669,0.773,-5.619,0.153,0,93.923
"Surface Pressure - From ""Encanto""/Soundtrack Version",23,12,0.652,0.583,-8.302,0.322,1.65E-06,180.042
La Llevo Al Cielo (Ft. ??engo Flow),53,12,0.795,0.845,-3.809,0.135,1.14E-05,170.023
Locked out of Heaven,111,12,0.728,0.697,-4.125,0.0456,0,143.986
505,57,12,0.52,0.852,-5.866,0.0543,5.79E-05,140.267
Revenge,63,12,0.746,0.251,-16.169,0.259,0.00203,139.999
Late Night Talking,2,12,0.714,0.728,-4.595,0.0468,0,114.996
Matilda,5,12,0.507,0.294,-10,0.04,1.97E-05,114.199
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),23,12,0.87,0.523,-8.052,0.0602,2.07E-05,110.02
Music For a Sushi Restaurant,6,12,0.72,0.715,-4.652,0.04,0.0568,107.041
"Tiago PZK: Bzrp Music Sessions, Vol. 48",37,12,0.656,0.823,-3.059,0.315,0,96.474
Only Love Can Hurt Like This,93,12,0.566,0.885,-4.528,0.0818,9.97E-05,90.99
Se Le Ve,110,12,0.562,0.755,-4.367,0.112,2.25E-05,83.997
Salimo de Noche,72,12,0.669,0.628,-4.177,0.0526,1.83E-05,83.803
Notion,67,11,0.309,0.883,-3.825,0.0808,0.00111,159.488
TO THE MOON,55,11,0.745,0.65,-11.814,0.346,0.00758,144.047
All For Us,43,11,0.46,0.66,-6.642,0.0652,0.000139,141.722
Wildest Dreams (Taylor's Version),29,11,0.583,0.67,-7.289,0.0646,0.0001,140.061
Esque??a-Me Se For Capaz,67,11,0.799,0.685,-5.366,0.0725,0,122.013
Sacrifice,3,11,0.735,0.795,-6.523,0.113,3.18E-05,122
Belly Dancer,77,11,0.845,0.797,-4.984,0.139,5.57E-06,121.985
Night Changes,111,11,0.672,0.52,-7.747,0.0353,0,120.001
Fingers Crossed,17,11,0.56,0.473,-7.23,0.0533,0,109.414
Running Up That Hill (A Deal With God),1,11,0.629,0.547,-13.123,0.055,0.00314,108.375
Softcore,35,11,0.575,0.568,-5.509,0.03,0.000417,93.986
Smokin Out The Window,8,11,0.627,0.618,-8.529,0.0437,0,82.03
pushin P (feat. Young Thug),14,11,0.773,0.422,-4.572,0.187,0.00693,77.502
Down Under (feat. Colin Hay),72,10,0.308,0.86,-4.111,0.168,0.000828,171.835
Vegas (From the Original Motion Picture Soundtrack ELVIS),26,10,0.801,0.601,-7.574,0.255,3.23E-05,159.969
Hold My Hand,110,10,0.53,0.612,-4.286,0.0331,0,148.009
Space Song,174,10,0.508,0.792,-7.311,0.0297,0.124,147.067
Formula,68,10,0.574,0.664,-6.068,0.0409,0.0553,144.654
I Ain't Worried,13,10,0.704,0.797,-5.927,0.0475,0.000745,139.994
Sweet Child O' Mine,101,10,0.454,0.91,-7.766,0.0448,0.0996,125.116
Ferrari,36,10,0.847,0.69,-7.877,0.0493,6.00E-05,125.004
Mal Feito - Ao Vivo,72,10,0.732,0.831,-3.791,0.0691,0,123.942
Lost,50,10,0.913,0.603,-4.892,0.226,0.000503,123.061
I Was Never There,17,10,0.323,0.737,-4.008,0.0338,0.000162,113.26
Everybody Wants To Rule The World,105,10,0.645,0.795,-12.095,0.0527,0.00389,112.067
I Like You (A Happier Song) (with Doja Cat),10,10,0.733,0.67,-6.009,0.0751,0,100.964
Potion (with Dua Lipa & Young Thug),26,10,0.824,0.697,-4.869,0.0473,4.11E-05,99.987
Excuses,56,10,0.837,0.717,-7.749,0.0822,0,94.984
Enchanted,61,10,0.535,0.618,-3.913,0.0273,0.000388,81.975
Light Switch,19,9,0.69,0.626,-5.693,0.306,0.000335,184.009
Glimpse of Us,1,9,0.44,0.317,-9.258,0.0531,4.78E-06,169.914
Vai L?? Em Casa Hoje,66,9,0.456,0.83,-3.646,0.281,0,157.628
When You're Gone,21,9,0.603,0.691,-5.805,0.0372,0,147.148
"Villano Antillano: Bzrp Music Sessions, Vol. 51",45,9,0.82,0.752,-7.635,0.0648,0.00417,127.999
Numb,114,9,0.912,0.774,-4.673,0.0455,0.0127,119.966
DANCE CRIP,79,9,0.857,0.766,-3.699,0.0978,0,106.024
Bar,99,9,0.523,0.691,-3.802,0.0833,0,94.148
"Cay?? La Noche (feat. Cruz Cafun??, Abhir Hathi, Bejo, EL IMA) [Remix]",58,8,0.672,0.745,-5.269,0.3,9.29E-06,173.974
Yet To Come,7,8,0.559,0.885,-4.515,0.189,0,172.029
I AM WOMAN,51,8,0.646,0.471,-9.247,0.157,0,170.084
Jimmy Cooks (feat. 21 Savage),7,8,0.529,0.673,-4.711,0.175,2.41E-06,165.921
Toma Toma Vapo Vapo,75,8,0.763,0.859,-3.3,0.0479,0.0003,164.055
Massive,18,8,0.499,0.671,-6.774,0.0561,0.0169,124.994
LOVE DIVE,51,8,0.703,0.709,-4.169,0.0433,5.43E-05,117.941
BREAK MY SOUL,12,8,0.693,0.887,-5.039,0.0795,2.71E-06,114.942
ULTRA SOLO REMIX,44,8,0.909,0.824,-4.627,0.0797,0.00387,109.97
Numb Little Bug,69,8,0.742,0.527,-6.892,0.0769,0,84.974
Mujeriego,92,8,0.758,0.621,-8.033,0.125,0,79.949
Money Trees,143,8,0.716,0.531,-7.355,0.122,0,71.994
she's all i wanna be,38,7,0.614,0.644,-5.372,0.0426,7.07E-06,160.036
Malvada,58,7,0.894,0.859,-2.981,0.0471,0.000153,134.947
Where Did You Go? (feat. MNEK),116,7,0.763,0.782,-4.541,0.0346,7.08E-06,127.034
ELEVEN,103,7,0.828,0.731,-3.033,0.111,0,119.978
I Hate U,19,7,0.535,0.388,-9.805,0.155,0,106.703
Left and Right (Feat. Jung Kook of BTS),7,7,0.881,0.592,-4.898,0.0324,1.32E-05,101.058
POP!,68,7,0.793,0.859,-2.998,0.0544,0,97.001
La Zona,60,7,0.762,0.801,-3.661,0.0409,7.04E-05,93.992
august,11,7,0.532,0.623,-9.208,0.0331,7.28E-05,89.937
Mount Everest,36,7,0.494,0.428,-7.239,0.205,0.0698,87.724
It'll Be Okay,55,7,0.398,0.286,-11.881,0.033,0.000146,78.262
Boyfriend,11,6,0.345,0.612,-6.543,0.0608,0,179.773
TUS L??GRIMAS,93,6,0.683,0.714,-4.898,0.252,1.00E-06,173.963
Unstoppable,112,6,0.468,0.779,-4.839,0.0779,0.000373,173.799
10 Things I Hate About You,117,6,0.544,0.786,-2.97,0.0501,0,153.967
La Bachata,13,6,0.835,0.679,-5.329,0.0364,1.98E-06,124.98
Ojos Marrones,72,6,0.809,0.649,-4.433,0.0416,0,120.014
Master Of Puppets,20,6,0.543,0.836,-9.11,0.0353,0.431,105.173
ZOOM,89,6,0.874,0.6,-6.064,0.158,0,100.012
MAMIII,5,6,0.843,0.7,-3.563,0.0803,0,93.991
Still D.R.E.,29,6,0.816,0.775,-3.323,0.234,0.00031,93.431
LA INOCENTE,121,6,0.757,0.789,-3.46,0.0583,0,91.911
In Da Club,77,6,0.899,0.713,-2.752,0.366,0,90.051
Thousand Miles,18,6,0.376,0.657,-4.658,0.0768,0,80.565
Stan,138,6,0.78,0.768,-4.325,0.238,2.34E-06,80.063
Normal,57,5,0.712,0.557,-4.861,0.115,0,170.079
SNAP,26,5,0.565,0.636,-8.198,0.0638,9.90E-06,170.01
Bad Habit,10,5,0.686,0.494,-7.093,0.0355,5.80E-05,168.946
Iris,124,5,0.315,0.715,-8.072,0.0362,7.97E-06,155.925
Nail Tech,36,5,0.677,0.557,-8.409,0.0694,8.36E-06,150.127
Ya No Somos Ni Seremos,37,5,0.588,0.452,-4.75,0.0268,0,139.953
Beautiful Girl,59,5,0.839,0.412,-8.816,0.0935,0.000796,139.901
Sticky,17,5,0.853,0.495,-14.63,0.14,0.000217,137.027
DAN??ARINA,32,5,0.778,0.571,-4.776,0.0788,0,134.999
That That (prod. & feat. SUGA of BTS),21,5,0.905,0.962,-3.197,0.0856,0,129.969
Ai Preto,140,5,0.953,0.57,-5.149,0.245,0,129.947
"Quevedo: Bzrp Music Sessions, Vol. 52",1,5,0.621,0.782,-5.548,0.044,0.033,128.033
Afraid To Feel,150,5,0.578,0.912,-3.929,0.114,0.00362,127.87
PUFFIN ON ZOOTIEZ,40,5,0.883,0.657,-5.748,0.305,0,124.992
Calm Down,130,5,0.814,0.789,-6.29,0.0405,0.000502,107.003
Betty (Get Money),78,5,0.723,0.772,-6.784,0.0792,1.15E-05,102.004
Yo Voy (feat. Daddy Yankee),63,5,0.808,0.697,-5.899,0.241,0,95.06
Apocalypse,135,5,0.369,0.467,-9.018,0.0274,0.46,94.473
San Lucas,149,5,0.577,0.363,-12.378,0.0263,0.000282,91.511
Pope Is a Rockstar,108,5,0.725,0.446,-8.958,0.0287,0.243,90.024
Last Last,93,5,0.795,0.565,-4.457,0.0948,0,87.925
I Wanna Be Yours,103,5,0.464,0.417,-9.345,0.0256,0.022,67.528
Un Verano Sin Ti,20,4,0.503,0.496,-9.123,0.0556,0,187.844
Jordan,53,4,0.796,0.68,-5.555,0.37,0.000683,179.923
Dua Lipa,37,4,0.833,0.652,-6.942,0.0762,0.0985,158.022
Honest (feat. Don Toliver),29,4,0.81,0.655,-6.779,0.0698,8.16E-05,150.002
Pipoco,100,4,0.774,0.742,-4.178,0.0766,0.000472,134.991
I? m Tired (with Zendaya) - Bonus Track,29,4,0.375,0.133,-10.624,0.0352,0,131.721
Bloqueado - Ao Vivo,106,4,0.828,0.721,-4.274,0.0558,0,129.092
Bandido,125,4,0.882,0.721,-2.851,0.0512,0,120.018
El Apag??n,28,4,0.629,0.698,-4.485,0.308,0.00166,117.765
Agosto,30,4,0.849,0.584,-8.195,0.115,6.18E-06,115.018
Peru,89,4,0.956,0.417,-7.892,0.0926,0.00071,108.015
Ens????ame a Bailar,27,4,0.81,0.789,-5.08,0.0846,1.08E-05,105.009
Freaky Deaky,83,4,0.799,0.653,-5.453,0.037,0,104.019
FEARLESS,149,4,0.863,0.62,-7.167,0.135,0.00324,103.971
Una Noche en Medell??n,16,4,0.87,0.548,-5.253,0.077,4.60E-05,96.018
"Kesariya (From ""Brahmastra"")",33,4,0.577,0.574,-6.525,0.0278,0,94.009
Stargirl Interlude,168,4,0.715,0.47,-12.638,0.0772,0.0923,89.965
DARARI,102,4,0.716,0.638,-6.87,0.0392,0,84.955
Alien Blues,118,4,0.467,0.757,-5.093,0.033,0.908,82.282
Chale,75,3,0.551,0.436,-8.029,0.0428,0,188.651
Surface Pressure,26,3,0.65,0.584,-8.286,0.307,1.54E-06,180.088
Atlantis,126,3,0.4,0.479,-7.989,0.0308,2.14E-06,166.159
